taxon,lfc,se,W,p,q,diff_robust,passed_ss,Biocrust,Kingdom,Phylum,Class,Order,Family,Genus,Lowest,label
ASV1206,-8.47E-04,0.517379161,-0.001636397,0.998707871,0.998707871,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Tistrellales,Geminicoccaceae,NA,Geminicoccaceae,ASV1206_Geminicoccaceae
ASV1209,0.581715742,0.701013187,0.829821396,0.414817981,0.620806362,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Cnuella,Cnuella,ASV1209_Cnuella
ASV122,-3.06862499,0.659353857,-4.65398808,1.00E-04,0.001232217,TRUE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Oceanicella,Oceanicella,ASV122_Oceanicella
ASV1220,-2.063996069,0.522115324,-3.953142102,5.93E-04,0.004936789,TRUE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,Segetibacter,ASV1220_Segetibacter
ASV1221,0.236152756,0.494661691,0.477402556,0.637394481,0.807366343,FALSE,TRUE,L-BSC,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,NA,Verrucomicrobiaceae,ASV1221_Verrucomicrobiaceae
ASV1222,1.422095092,0.6606689,2.152508001,0.041625539,0.122082955,FALSE,TRUE,L-BSC,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,Armatimonadaceae,ASV1222_Armatimonadaceae
ASV1225,-1.273096262,0.681731512,-1.867445233,0.074099894,0.185007279,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tundrisphaera,Tundrisphaera,ASV1225_Tundrisphaera
ASV1227,-2.249056272,0.545917738,-4.119771379,3.89E-04,0.003471818,TRUE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA,Acetobacteraceae,ASV1227_Acetobacteraceae
ASV1229,0.411379669,0.500140983,0.822527413,0.418874412,0.624737604,FALSE,TRUE,L-BSC,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,NA,Fimbriimonadaceae,ASV1229_Fimbriimonadaceae
ASV1232,-0.202264949,0.394402217,-0.512839279,0.612751982,0.792226675,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum,Edaphobaculum,ASV1232_Edaphobaculum
ASV1233,0.1313728,0.52234118,0.251507646,0.803562734,0.887880948,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Amaricoccus,Amaricoccus,ASV1233_Amaricoccus
ASV1234,1.283384973,0.52957533,2.423422881,0.023282303,0.076891963,FALSE,TRUE,L-BSC,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,Roseisolibacter,ASV1234_Roseisolibacter
ASV1235,-2.79288243,0.493322602,-5.661371322,7.88E-06,1.97E-04,TRUE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV1235_AKIW781
ASV124,1.226051352,0.860943064,1.424079482,0.167296352,0.327840833,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Herpetosiphonaceae,Herpetosiphon,Herpetosiphon,ASV124_Herpetosiphon
ASV1241,-2.29466517,0.564109625,-4.067764613,4.44E-04,0.003919071,TRUE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,Roseomonas,ASV1241_Roseomonas
ASV1247,-1.402041299,0.685519877,-2.045223408,0.051945995,0.14276981,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter,ASV1247_Adhaeribacter
ASV1248,-2.566045397,0.462276394,-5.55088997,1.04E-05,2.12E-04,TRUE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,JG30-KF-CM45,ASV1248_JG30-KF-CM45
ASV1249,0.318766376,0.650137935,0.490305763,0.628370175,0.800576579,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,Escherichia-Shigella,ASV1249_Escherichia-Shigella
ASV125,-0.563566009,0.629270539,-0.895586197,0.379368798,0.585809769,FALSE,TRUE,L-BSC,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Paraconexibacter,Paraconexibacter,ASV125_Paraconexibacter
ASV1253,-1.12666607,0.691895749,-1.628375476,0.116503265,0.255838828,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,WD2101_soil_group,ASV1253_WD2101_soil_group
ASV1254,0.427812884,0.560882568,0.762749474,0.453045075,0.648855909,FALSE,TRUE,L-BSC,Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,NA,Hydrogenedensaceae,ASV1254_Hydrogenedensaceae
ASV1258,-0.220660633,0.543852587,-0.40573611,0.688531111,0.835800266,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Herpetosiphonaceae,Herpetosiphon,Herpetosiphon,ASV1258_Herpetosiphon
ASV1261,-0.245312317,0.686050959,-0.357571568,0.723789349,0.853872691,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,D05-2,NA,D05-2,ASV1261_D05-2
